track_id,album_id,track_name,duration_ms,popularity
000VZqvXwT0YNqKk7iG2GS,75kQjmcR1YnIrBwVW1s4G1,Mercy,256478,0
000xQL6tZNLJzIrtIgxqSl,2kGUeTGnkLOYlinKRJe47G,Still Got Time (feat. PARTYNEXTDOOR),188490,0
000xYdQfIZ4pDmBGzQalKU,4QianJs5Ls4mxwcT7gDBww,"Eu, Voce, O Mar e Ela",187118,0
0010mZpCCwlPwoBiBsjoac,5oKWoolIuoWMG6AORvA9hL,It's Alright Now,249946,0
001BVhvaZTf2icV88rU3DA,7pZ8G0wWw7PLiECRnoaUbi,Wet Jeans,205255,0
001CyR8xqmmpVZFiTZJ5BC,3NF642glRZZKf3Ng96eMfX,She Knows How To Rock Me,160106,0
001bQcMKt86oNbnWne4EAB,0vBFa64sBqdd26KKIj4SKZ,No quieren que gane,179466,0
001m5KK2fu67yZ5ZW46LDZ,2kPUTzKRpqY9mSPlHjL1OR,Ginger,194320,0
002HVvfZx6AKPzJEeimuu5,23aWOneOrCl1KBfDCo2pFy,Welcome to Boston,154573,0
002opcRBgYV5jqoh72QcqA,6z1qeT7vI9YUsCHqufGWJy,Just to See You Smile,181957,0
003R4eVgMYJqn6PaD3ShPF,4Z9obWy8iCAkKg6BRDWobY,Se Despide el Amigo,206880,0
003xj5QO14i4q75qFblh3c,3HZ0JZp7CyL6iRDcizTNYN,Borrachita,184720,0
004CHLDuagb2GLTYON5bQ4,6DfpAPQnvYJlkbzf1b2g8I,Ready to Bleed,212040,0
004XT7kCZUEJkVIZjmBdDi,0EI8YjnyrsrQPNKIDfCY2n,Life Rolls On,219106,0
004q4eDxR33ci4f8m4flwl,5afHhk03AfHR76hfjRNobE,El Yeyo,171626,0
004r6DQZNkMagJyGBjyapx,5DBkVYMm2pO2JBmbadxp2E,Un Complejo,73666,0
004skCQeDn1iLntSom0rRr,5iK842b9xnZblgZkRxWCFe,"Heart and Soul - From ""Camp Rock 2: The Final Jam""",177773,0
0051XNkzp7FXjzG9dpijnN,6InzdcelNU3urf6CgnXCph,Stoners,260187,0
005GaX6hvgeTFnR9FvejTE,3BKFrChX5Exd28VX3Yq4Kb,Hey Lady,230103,0
005drRcJJFgFHgtxSJJO0v,3oJKuFPVZTSeNc8G4UYV4L,Fuck Everything,273613,0
005ojEjmGPAfBptQDTYi5T,0k5SdnRApLIsknnO0M0rwH,White Walls/Can't Hold Us/Same Love/Thrift Shop (Acoustic Mashup) feat. Jaclyn Davies,265867,0
006AVH7fq061voGXkUiII4,3MksslTJffj1jqxGkQt8Tm,Fingertips,191572,0
006SglxPR4kFundfJs51TD,1fbioXhoT5kdGQ3qjTki8J,Emena Thes,181510,0
006WRVtgmwxurJh8CvJEec,1JsfL0KkGgJYWFUaL7zrES,Still Someone,187080,0
006f4XC6oHnIKCYvlI5gbD,2pPGfPv8AKkeFyTtgHTOUr,Cuanto Me Cuesta,182040,0
006oQzCztQunM3OK3FOUUA,1dvidQe99PmEDSW91azSTw,I Bring The Beat,201426,0
